,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
goal,0.205,0.063,0.804,0.098,0.687,0.058,0.096,0.0,0.0,0.029,0.899,0.031,0.246,0.01,0.326,0.448,0.001,0.001,0.129,0.004,0.952,0.074,0.156,0.261,0.82,0.794,0.358,0.146,0.105,0.358,0.895,0.49,0.122,0.724,0.067,0.088,0.572
imagery,0.036,0.034,0.618,0.795,0.103,0.055,0.469,0.067,0.536,0.976,0.816,0.732,0.877,0.946,0.636,0.002,0.838,0.242,0.878,0.724,0.843,0.133,0.999,0.05,0.872,0.336,0.433,0.048,0.454,0.039,0.009,0.009,0.461,0.847,0.686,0.727,0.041
induction,0.35,0.447,0.426,0.883,0.027,0.783,0.064,0.782,0.736,0.141,0.799,0.77,0.18,0.277,0.927,0.195,0.437,0.626,0.242,0.342,0.039,0.749,0.516,0.301,0.453,0.169,0.235,0.046,0.515,0.85,0.048,0.09,0.714,0.767,0.645,0.412,0.029
inference,0.805,0.126,0.597,0.445,0.037,0.088,0.221,0.022,0.0,0.004,0.681,0.013,0.262,0.878,0.169,0.777,0.007,0.0,0.4,0.175,0.808,0.954,0.313,0.37,0.782,0.497,0.193,0.871,0.671,0.3,0.187,0.163,0.771,0.359,0.086,0.49,0.326
inhibition,0.883,0.031,0.764,0.571,0.131,0.04,0.678,0.088,0.563,0.833,0.417,0.499,0.695,0.779,0.291,0.08,0.058,0.624,0.881,0.984,0.503,0.95,0.292,0.947,0.331,0.325,0.849,0.604,0.916,0.065,0.787,0.353,0.647,0.392,0.331,0.149,0.923
integration,0.236,0.864,0.074,0.547,0.764,0.582,0.096,0.273,0.939,0.116,0.235,0.946,0.461,0.431,0.508,0.296,0.825,0.0,0.235,0.642,0.366,0.137,0.374,0.61,0.19,0.371,0.566,0.438,0.738,0.437,0.922,0.635,0.256,0.196,0.659,0.305,0.201
intelligence,0.023,0.004,0.329,0.384,0.487,0.011,0.947,0.12,0.732,0.316,0.302,0.311,0.134,0.218,0.021,0.143,0.854,0.764,0.618,0.725,0.559,0.841,0.494,0.308,0.276,0.099,0.204,0.51,0.111,0.201,0.191,0.065,0.626,0.294,0.505,0.387,0.148
intention,0.691,0.204,0.542,0.96,0.127,0.223,0.064,0.014,0.0,0.0,0.004,0.0,1.0,0.001,0.0,0.718,0.238,0.034,0.001,0.0,0.046,0.037,0.752,0.098,0.784,0.097,0.088,0.057,0.171,0.597,0.257,0.4,0.101,0.043,0.014,0.032,0.121
interference,0.081,0.636,0.416,0.638,0.664,0.47,0.034,0.057,0.019,0.0,0.0,0.0,0.181,0.344,0.992,0.903,0.035,0.638,0.945,0.01,0.992,0.474,0.615,0.306,0.491,0.256,0.334,0.775,0.752,0.032,0.994,0.753,0.902,0.004,0.578,0.119,0.521
knowledge,0.235,0.134,0.015,0.865,0.088,0.143,0.089,0.002,0.0,0.002,0.114,0.003,0.7,0.0,0.0,0.748,0.858,0.008,0.004,0.0,0.1,0.035,0.354,0.146,0.355,0.648,0.286,0.133,0.082,0.609,0.106,0.035,0.015,0.869,0.055,0.03,0.411
