,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Visual,0.521,0.345,1.0,0.963,0.994,0.544,0.937,0.458,0.237,0.658,0.685,0.861,0.467,0.608,0.565,0.68,0.052,0.937,0.999,0.709,0.953,0.993,0.319,1.0,0.159,0.511,0.131,0.269,0.225,0.282,0.379,0.274,0.997,0.897,0.99,1.0,0.84
Somatomotor,0.263,0.002,1.0,0.235,0.921,0.007,0.996,0.999,1.0,0.906,0.617,0.944,0.046,1.0,0.991,0.808,0.993,0.981,1.0,1.0,0.68,0.211,0.495,0.941,0.661,0.946,0.597,0.063,0.01,0.115,0.527,0.193,0.077,0.311,0.983,0.985,0.476
Dorsal Attention,0.76,0.138,0.256,0.517,0.0,0.039,0.626,0.986,0.971,0.91,0.813,0.999,0.402,0.979,0.9,0.102,0.874,0.845,1.0,0.996,0.782,1.0,0.474,0.852,0.735,0.646,0.767,0.099,0.456,0.333,0.149,0.247,0.409,0.702,0.922,0.99,0.561
Ventral Attention,0.0,0.004,1.0,0.014,0.002,0.001,0.105,0.591,0.926,0.488,0.055,0.333,0.898,0.998,0.997,0.084,0.989,1.0,0.963,0.973,0.51,0.827,0.736,0.029,0.908,0.868,0.982,0.716,0.74,0.039,0.456,0.21,0.877,0.132,0.196,0.066,0.09
Limbic,0.998,0.913,0.985,0.897,0.88,0.969,0.868,0.996,0.999,0.997,0.991,0.995,0.475,1.0,0.949,0.758,0.951,0.992,0.847,1.0,0.808,0.996,0.723,0.53,0.436,0.407,0.558,0.032,0.024,1.0,0.173,0.219,0.907,0.392,0.995,0.993,0.885
Frontoparietal,0.571,0.997,0.005,0.532,0.544,0.998,0.097,0.0,0.088,0.562,0.254,0.154,1.0,0.0,0.003,0.029,0.001,0.645,0.048,0.0,0.47,0.123,0.172,0.085,0.603,0.611,0.544,0.978,0.993,0.603,0.16,0.4,0.129,0.516,0.061,0.04,0.209
Default-Mode,0.997,1.0,0.027,0.814,0.992,1.0,0.376,0.483,0.002,0.006,0.761,0.08,0.054,0.176,0.073,0.984,0.168,0.0,0.001,0.2,0.227,0.315,0.55,0.875,0.021,0.01,0.024,0.621,0.787,0.986,0.82,0.921,0.726,0.96,0.208,0.699,0.863
