,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Visual,0.02638393061035845,0.3923409204653857,1.1027921162726171e-21,7.087184718364032e-19,-2.2543282449713656e-20,0.09813336675983611,-4.214174704770703e-20,0.017746264491834918,0.30982858926013596,0.002582746638371812,9.657238832022541e-19,-4.732298697859258e-20,0.07153516072403553,0.04347305967570841,0.04025588762218376,0.024547965313340293,0.8079984809049348,3.1302296587268844e-19,3.7427261712534047e-22,2.7740533029087567e-19,-7.747163875887348e-21,-1.6004883033958646e-21,0.11705554196061331,8.393332610171907e-26,0.49113285593114764,0.01796264268681786,0.39141189515613145,0.2956160987933965,0.376904832800336,0.2041458281740065,0.3753479943227407,0.5157134078760833,1.5819406310300115e-21,-9.283273962227352e-20,4.885828191204532e-21,-1.162630011070315e-25,1.1420967217477464e-19
Somatomotor,0.346449107313435,1.330032547447301,0.04550438794221045,0.2929389282084107,0.14748510595324213,1.1547758272448554,0.016190157894417863,0.008452129673646119,0.020060629099581714,0.05981696781618324,0.10143577042126636,0.03839373867136286,0.3220403808037836,0.004943666330067345,0.0588371505167655,0.15847496377805917,0.03958740640977445,0.056420923856834566,0.013203644280995071,0.00026901720912106517,0.06176886688676604,0.15877640947501873,0.143154887758806,0.03035976400018277,0.18787544675004272,0.04220430620451173,0.12404353012680727,0.3095037492237688,0.4425250529065856,0.27831869028120065,0.36543036642032234,0.47955179155540556,0.20089938617076625,0.10300396811146409,0.040153661013167266,0.016006609401000634,0.06397377037323096
Dorsal Attention,0.14434439934861754,0.7618596336134804,0.3143594919927004,0.22481611710457083,0.8098394610606667,0.8791397048198113,0.06811311259316091,0.012096538664958554,0.07719936524733598,0.05418063625793176,0.05825018824486072,0.007149759640045049,0.1953268686847357,0.07230756004100576,0.08850284487082206,0.3751794791391996,0.08372676762445037,0.1182547736243063,0.006696789039273766,0.004264877557997438,0.04460920750448738,-7.973089113933734e-21,0.15294241617727117,0.036763289925777605,0.16278111620062355,0.08788207044072328,0.09077633854027406,0.3217925399779397,0.23756853981616913,0.20928296291414092,0.5228008818742522,0.4651680567736412,0.12671603652768154,0.051555567522736344,0.050831621766661325,0.007010948864560641,0.05480794182856204
Ventral Attention,0.6066704843930452,0.9288833280196903,0.054861787371994,0.3650757202064097,0.4858254188948153,0.8626186824772892,0.1251951115525609,0.0905788991495339,0.14674468957706374,0.13449972888653405,0.22066101184385664,0.13583328909879605,0.12002213008352433,0.11252081440082405,0.07052086149520703,0.3237205678030255,0.07227485384620189,0.05296248111995877,0.06956838983813227,0.029431680196622893,0.08955068860931734,0.07598319704268992,0.12060598046356463,0.16660639096851015,0.16307121761435225,0.07783673195991951,0.06792356326906136,0.1698643722535087,0.1966787464702162,0.2906501629077643,0.3837751338526952,0.444251018974282,0.07438662230404826,0.12855680983458836,0.18320245356563372,0.18603439893897672,0.10843436419302131
Limbic,0.012727992267334058,0.20647046123634258,0.05303496096341702,0.12208916449203903,0.14627329560357885,0.12998391137894733,0.03594697505715433,0.007241594904809901,0.0199985820974309,0.01187459137140467,0.008402603361263451,0.007145937830946485,0.1848580215097576,0.006781549546486743,0.060776688081570766,0.15856665022151664,0.0544562555271863,0.033724369229606914,0.0667764275373114,1.3425090492592485e-20,0.03999536730402489,0.006127088460821621,0.09505442103955382,0.07888562924914613,0.24388874157786442,0.12689443530437922,0.12279487726352756,0.38790360801118023,0.4573338242612957,0.013801143765819188,0.49270992048758444,0.4750393969705722,0.04737541913831332,0.09390181506297415,0.01819068584556399,0.0032179978356752215,0.02082644511390967
Frontoparietal,0.235671361766181,0.17835502894753932,0.4283170902679133,0.2295248611868613,0.27315268923141567,0.1447367517870366,0.12889230963916623,0.2383081861302267,0.3285914908298009,0.12874799051986274,0.16502191440248523,0.16330899713286628,0.046868888403415694,0.7465365536055978,0.37259024789376577,0.36828710652660657,0.36196268261011255,0.19832877676771515,0.20049765747718024,0.22802874968200232,0.09983696908442126,0.16923293506249926,0.2058137695543831,0.1471839557002567,0.21787608383363852,0.1103976423015827,0.1437695321419208,0.11397027450467855,0.1226030117542113,0.17514766056868158,0.4568070900323895,0.40012510258519246,0.1650345390584712,0.08342575285739884,0.2154367546100458,0.20307644285160129,0.09336721353391833
Default-Mode,0.03655219526062513,0.00693371161685783,0.4229102746185018,0.176200311865766,0.11208067462043633,0.008516893798787825,0.10184217742603814,0.09559832056538967,0.48653544239953095,0.27385770391378544,0.08839209757526904,0.1922875228922131,0.275591279894802,0.38198659367160415,0.2797361188972702,0.10664366768747544,0.23817417032522867,0.6334375483669156,0.27590693535362537,0.12408237775183487,0.12870871282916696,0.13973036567795175,0.14633533100086218,0.05339734473579988,0.37538819964150255,0.22323210418817857,0.24614547264713788,0.17847117325482498,0.18559705730275858,0.08204391915196502,0.3059145961094661,0.2649192328260145,0.09079729669326733,0.034648540209835675,0.18704420148870346,0.07843407448674107,0.03788948043262543
