,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Olfaction,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
Visual,0.53,0.354,1.0,0.977,0.994,0.591,0.987,0.524,0.237,0.793,0.723,0.918,0.473,0.676,0.613,0.68,0.052,0.937,0.999,0.886,0.908,0.998,0.353,1.0,0.194,0.527,0.169,0.278,0.222,0.289,0.233,0.406,0.318,0.999,0.897,0.991,1.0,0.86
Somatomotor,0.24,0.002,1.0,0.236,0.921,0.005,0.997,0.934,1.0,0.885,0.624,0.906,0.078,1.0,0.995,0.808,0.996,0.981,1.0,1.0,0.706,0.269,0.531,0.964,0.71,0.946,0.669,0.08,0.011,0.092,0.042,0.541,0.206,0.049,0.308,0.97,0.99,0.489
Dorsal Attention,0.762,0.152,0.248,0.611,0.0,0.054,0.582,0.988,0.971,0.91,0.841,1.0,0.366,0.986,0.899,0.102,0.898,0.845,1.0,0.998,0.802,1.0,0.473,0.879,0.646,0.552,0.648,0.127,0.586,0.344,0.599,0.145,0.258,0.457,0.687,0.939,0.995,0.52
Ventral Attention,0.0,0.004,1.0,0.024,0.002,0.001,0.24,0.24,0.926,0.395,0.059,0.229,0.676,0.999,0.992,0.084,0.993,1.0,0.963,0.985,0.543,0.693,0.746,0.046,0.904,0.879,0.974,0.752,0.768,0.043,0.318,0.308,0.116,0.905,0.126,0.198,0.114,0.182
Limbic,0.999,0.912,0.988,0.941,0.88,0.972,0.797,0.989,0.999,0.998,0.994,0.996,0.511,1.0,0.963,0.758,0.95,0.992,0.847,1.0,0.813,0.98,0.737,0.575,0.333,0.338,0.45,0.037,0.005,1.0,0.029,0.174,0.261,0.929,0.38,0.993,0.998,0.944
Frontoparietal,0.588,0.998,0.004,0.582,0.544,0.998,0.197,0.0,0.088,0.576,0.218,0.186,1.0,0.0,0.0,0.029,0.002,0.645,0.048,0.0,0.471,0.132,0.127,0.049,0.647,0.556,0.501,0.918,0.996,0.622,0.979,0.198,0.435,0.187,0.526,0.07,0.059,0.34
Default-Mode,0.997,1.0,0.029,0.758,0.992,1.0,0.161,0.703,0.002,0.012,0.765,0.127,0.106,0.143,0.052,0.984,0.122,0.0,0.001,0.143,0.193,0.371,0.57,0.886,0.02,0.017,0.05,0.629,0.75,0.987,0.885,0.862,0.935,0.665,0.959,0.255,0.472,0.593
